"","movies","ratings","year"
"1","The Shawshank Redemption","9.3","(1994)"
"2","The Godfather","9.2","(1972)"
"3","The Dark Knight","9.0","(2008)"
"4","The Godfather: Part II","9.0","(1974)"
"5","The Lord of the Rings: The Return of the King","8.9","(2003)"
"6","Pulp Fiction","8.9","(1994)"
"7","Schindler's List","8.9","(1993)"
"8","12 Angry Men","8.9","(1957)"
"9","Inception","8.8","(2010)"
"10","Fight Club","8.8","(1999)"
"11","The Lord of the Rings: The Fellowship of the Ring","8.8","(2001)"
"12","Forrest Gump","8.8","(1994)"
"13","Il buono, il brutto, il cattivo","8.8","(1966)"
"14","Hamilton","8.7","(2020)"
"15","The Lord of the Rings: The Two Towers","8.7","(2002)"
"16","The Matrix","8.7","(1999)"
"17","Goodfellas","8.7","(1990)"
"18","Star Wars: Episode V - The Empire Strikes Back","8.7","(1980)"
"19","One Flew Over the Cuckoo's Nest","8.7","(1975)"
"20","Gisaengchung","8.6","(2019)"
"21","Interstellar","8.6","(2014)"
"22","Cidade de Deus","8.6","(2002)"
"23","Sen to Chihiro no kamikakushi","8.6","(2001)"
"24","Saving Private Ryan","8.6","(1998)"
"25","The Green Mile","8.6","(1999)"
"26","La vita è bella","8.6","(1997)"
"27","Se7en","8.6","(1995)"
"28","The Silence of the Lambs","8.6","(1991)"
"29","Star Wars","8.6","(1977)"
"30","Seppuku","8.6","(1962)"
"31","Shichinin no samurai","8.6","(1954)"
"32","It's a Wonderful Life","8.6","(1946)"
"33","Joker","8.5","(2019)"
"34","Whiplash","8.5","(2014)"
"35","The Intouchables","8.5","(2011)"
"36","The Prestige","8.5","(2006)"
"37","The Departed","8.5","(2006)"
"38","The Pianist","8.5","(2002)"
"39","Gladiator","8.5","(2000)"
"40","American History X","8.5","(1998)"
"41","The Usual Suspects","8.5","(1995)"
"42","Léon","8.5","(1994)"
"43","The Lion King","8.5","(1994)"
"44","Terminator 2: Judgment Day","8.5","(1991)"
"45","Nuovo Cinema Paradiso","8.5","(1988)"
"46","Hotaru no haka","8.5","(1988)"
"47","Back to the Future","8.5","(1985)"
"48","Anand","8.5","(1971)"
"49","Once Upon a Time in the West","8.5","(1968)"
"50","Psycho","8.5","(1960)"
